TierID;CollarID;UTC_Date;UTC_Time;LMT_Date;LMT_Time;Latitude;Longitude;Height;DOP;X;Y;twilight_start;sunrise;sunset;twilight_end;moonilumination;daytime;ActMean;Trajectory;distance;speed;timelag
RE10;13573;03.06.2014;08:00:43;03.06.2014;09:00:43;47.2541213;8.5727363;704.85;3.8;685845;234310;03.06.2014 03:53;03.06.2014 04:32;03.06.2014 20:15;03.06.2014 20:55;0.300647726;T;40.96824074;RE10;71.06335202;0.00657994;10800
RE10;13573;03.06.2014;11:00:43;03.06.2014;12:00:43;47.254516;8.5734767;688.79;1.8;685900;234355;03.06.2014 03:53;03.06.2014 04:32;03.06.2014 20:15;03.06.2014 20:55;0.300647726;T;62.65675926;RE10;80.15609771;0.007363228;10886
RE10;13573;03.06.2014;14:02:09;03.06.2014;15:02:09;47.2539196;8.5728762;656.12;10.2;685856;234288;03.06.2014 03:53;03.06.2014 04:32;03.06.2014 20:15;03.06.2014 20:55;0.300647726;T;68.50861111;RE10;44.92215489;0.004192846;10714
RE10;13573;03.06.2014;17:00:43;03.06.2014;18:00:43;47.2538134;8.5723048;720.15;2.8;685813;234275;03.06.2014 03:53;03.06.2014 04:32;03.06.2014 20:15;03.06.2014 20:55;0.300647726;T;14.00518519;RE10;14.2126704;0.001311858;10834
RE10;13573;03.06.2014;20:01:17;03.06.2014;21:01:17;47.2537242;8.5724566;676.21;4.6;685824;234266;03.06.2014 03:53;03.06.2014 04:32;03.06.2014 20:15;03.06.2014 20:55;0.300647726;N;101.8317593;RE10;10.19803903;0.000947157;10767
RE10;13573;03.06.2014;23:00:44;04.06.2014;00:00:44;47.2536428;8.5724297;676.4;3.4;685822;234256;03.06.2014 03:53;03.06.2014 04:32;03.06.2014 20:15;03.06.2014 20:55;0.300647726;N;45.88592593;RE10;20.39607805;0.001888701;10799
RE10;13573;04.06.2014;02:00:43;04.06.2014;03:00:43;47.2536728;8.5726949;681.49;3;685842;234260;04.06.2014 03:52;04.06.2014 04:31;04.06.2014 20:16;04.06.2014 20:55;0.401971567;N;59.13046296;RE10;34.05877273;0.00315359;10800
RE10;13573;04.06.2014;05:00:43;04.06.2014;06:00:43;47.2539067;8.5729889;699.67;3.4;685864;234286;04.06.2014 03:52;04.06.2014 04:31;04.06.2014 20:16;04.06.2014 20:55;0.401971567;T;61.36564815;RE10;10.81665383;0.000999783;10819
RE10;13573;04.06.2014;08:01:02;04.06.2014;09:01:02;47.2539821;8.5730623;674.21;4.4;685870;234295;04.06.2014 03:52;04.06.2014 04:31;04.06.2014 20:16;04.06.2014 20:55;0.401971567;T;68.09611111;RE10;32.20248438;0.002986689;10782
RE10;13573;04.06.2014;11:00:44;04.06.2014;12:00:44;47.2538571;8.5726754;688.42;3;685841;234281;04.06.2014 03:52;04.06.2014 04:31;04.06.2014 20:16;04.06.2014 20:55;0.401971567;T;77.96481481;RE10;21.9317122;0.002030902;10799
RE10;13573;04.06.2014;14:00:43;04.06.2014;15:00:43;47.2537188;8.5724775;669.95;2;685826;234265;04.06.2014 03:52;04.06.2014 04:31;04.06.2014 20:16;04.06.2014 20:55;0.401971567;T;51.47138889;RE10;41.10960958;0.003787857;10853
