pres_abs;nmb;x;y;forest;slope;dist_road_all;dist_road_only;dist_build;forest_prop;us;os;GPStot;id;time_of_day;stoerungskategorie
1;3;682075;237725;0;22.95876;118.6247;118.6247;131.7514;0.334026813;0;0.294624746;420;RE03;night;gering
1;4;682075;237750;0;27.05693;97.2239;97.2239;127.433;0.313921956;0.050709939;0.247464503;420;RE03;night;gering
1;8;682075;237775;0;19.73689;75.8763;75.8763;122.8557;0.313514905;0;0.099391481;420;RE03;night;gering
1;7;682075;237800;0;14.58468;53.13741;53.13741;117.9606;0.318410411;0;0.004056795;420;RE03;night;gering
1;1;682075;237825;0;14.84094;29.72942;29.72942;113.393;0.336957258;0;0.126774848;420;RE03;night;gering
1;1;682050;237550;0.1558754;13.06156;5.730827;5.730827;43.6146;0.655234137;0;0.422920892;420;RE03;night;gering
0;0;682050;237575;0;20.31335;27.38706;27.38706;53.88414;0.604885663;1.97E-11;0.030425964;420;RE03;night;gering
1;3;682050;237600;0.9025116;29.2567;51.28413;51.28413;71.78699;0.5663804;0.152129817;0.498985801;420;RE03;night;gering
1;3;682050;237625;1;24.8757;75.42765;75.42765;93.02312;0.553769479;0;0.977687627;420;RE03;night;gering
0;0;682050;237650;1;23.61787;99.61818;99.61818;115.7725;0.55958317;0.101419878;0.53346856;420;RE03;night;gering
0;0;682050;237675;1;18.89548;123.853;123.853;139.2955;0.544974108;0.418864097;1;420;RE03;night;gering
1;7;682050;237700;1;24.00491;127.5406;127.5406;158.4024;0.495128296;0.419371197;1;420;RE03;night;gering
1;1;682050;237725;0.6707983;20.37066;105.6578;105.6578;156.0742;0.458615526;0.026369168;0.893002028;420;RE03;night;gering
0;0;682050;237750;0;19.39437;84.55923;84.55923;152.019;0.440807744;0;3.21E-12;420;RE03;night;gering
1;5;682050;237775;0;17.40755;62.91553;62.91553;147.3114;0.44307537;0;3.40E-11;420;RE03;night;gering
1;5;682050;237800;0.05708228;10.667;41.87941;41.87941;142.4225;0.452597301;0.04969574;0.368154158;420;RE03;night;gering
0;0;682050;237825;0.6546726;20.38553;20.43311;20.43311;138.2343;0.473626797;0.123732252;0.728701826;420;RE03;night;gering
0;0;682025;237550;0;12.84662;15.767;15.767;20.11679;0.680703275;0.004056795;0.00811359;420;RE03;night;gering
1;1;682025;237575;0.292302;24.58266;35.51119;35.51119;37.47746;0.653973852;0.004056795;0.654158215;420;RE03;night;gering
1;4;682025;237600;1;30.05383;56.54072;56.54072;60.44974;0.634989293;0.026369168;0.077079108;420;RE03;night;gering
1;3;682025;237625;1;29.31477;77.2941;77.2941;84.58172;0.649460788;0.268762677;0.442697769;420;RE03;night;gering
1;18;682025;237650;1;18.68587;98.66464;98.66464;109.1056;0.694488955;0.00811359;0.65010142;420;RE03;night;gering
0;0;682025;237675;1;27.39552;120.7898;120.7898;133.8059;0.66810486;0.40010142;0.977687627;420;RE03;night;gering
1;3;682025;237700;1;22.14978;118.6549;118.6549;158.6001;0.625381031;0.26622718;1;420;RE03;night;gering
1;1;682025;237725;1;16.7545;95.03596;95.03596;177.4441;0.589085704;0.113590264;1;420;RE03;night;gering
1;2;682025;237750;0.2502854;11.72572;71.86375;71.86375;176.5786;0.567775024;0.021805274;0.248985801;420;RE03;night;gering
1;1;682025;237775;0.06071108;15.08978;50.2077;50.2077;171.7567;0.566365473;0.067444219;0.75;420;RE03;night;gering
1;2;682025;237800;0.9747003;20.6031;29.17154;29.17154;166.8685;0.574202317;0.273833672;0.852941177;420;RE03;night;gering
0;0;682025;237825;1;18.25033;8.47332;8.47332;163.1241;0.60439591;0.420385396;1;420;RE03;night;gering
0;0;682000;237550;0;9.770805;8.700481;8.700481;11.89937;0.710723801;0;0.093813387;420;RE03;night;gering
1;9;682000;237575;0.807225;28.95803;24.86866;24.86866;33.99081;0.69826739;6.05E-12;0.745943205;420;RE03;night;gering
1;4;682000;237600;1;29.72686;43.46456;43.46456;58.34879;0.699702356;0.147058823;0.171906694;420;RE03;night;gering
1;4;682000;237625;1;32.19034;64.93085;64.93085;82.82541;0.738631211;0.267748479;0.546653144;420;RE03;night;gering
1;1;682000;237650;1;21.61571;87.5365;87.5365;106.799;0.816377576;0.135902637;0.95030426;420;RE03;night;gering
1;1;682000;237675;1;25.74373;110.8226;110.8226;130.3601;0.800331127;0.157200811;0.978194726;420;RE03;night;gering
1;1;682000;237700;1;19.3166;111.9805;111.9805;153.7315;0.746962648;0.455882353;1;420;RE03;night;gering
1;5;682000;237725;1;15.87044;87.54814;87.54814;177.2083;0.709198065;0.28296146;1;420;RE03;night;gering
1;3;682000;237750;0.2917516;10.35173;63.49926;63.49926;196.4664;0.68704585;0.004056795;0.247464503;420;RE03;night;gering
1;1;682000;237775;0.3730327;15.2306;39.75139;39.75139;196.2368;0.682028511;0.004056795;0.987829615;420;RE03;night;gering
0;0;682000;237800;1;18.69288;16.83576;16.83576;191.3374;0.691122816;0.155172414;1;420;RE03;night;gering
0;0;681975;237550;0;12.46789;7.776508;7.776508;27.00393;0.75789413;2.91E-11;0.026369168;420;RE03;night;gering
1;2;681975;237575;0.8751733;25.21907;9.727775;9.727775;36.36933;0.751393817;0.050709939;0.718559838;420;RE03;night;gering
1;1;681975;237600;1;37.84649;32.11847;32.11847;53.82885;0.754626828;0.351926978;0.656693712;420;RE03;night;gering
1;1;681975;237625;1;26.86806;55.49577;55.49577;75.19077;0.802402288;0.356490872;0.313894523;420;RE03;night;gering
0;0;681975;237650;1;24.35366;79.25876;79.25876;98.25268;0.900205906;0.644523327;0.893002028;420;RE03;night;gering
0;0;681975;237675;1;30.43899;103.269;103.269;122.0801;0.896344366;0.25;1;420;RE03;night;gering
1;1;681975;237700;1;23.50131;109.6961;109.6961;146.2995;0.83837044;0.440669371;1;420;RE03;night;gering
1;4;681975;237725;0.8506075;12.36714;85.02108;85.02108;170.7441;0.808179671;0.054766734;0.82505071;420;RE03;night;gering
1;1;681975;237750;0;13.55457;60.02994;60.02994;195.3293;0.789172117;0;0.004056795;420;RE03;night;gering
1;1;681975;237775;0.8005178;21.43759;35.05184;35.05184;215.9839;0.781566433;0.096348884;0.947768763;420;RE03;night;gering
1;1;681950;237550;0;8.881696;19.4891;19.4891;12.72764;0.794763926;0;0.056288033;420;RE03;night;gering
1;3;681950;237575;0.4395947;20.62485;4.750718;4.750718;20.16264;0.794391973;0.004056795;0.521805274;420;RE03;night;gering
0;0;681950;237600;1;35.73942;25.40713;25.40713;43.64228;0.808325709;0.227180527;0.665821501;420;RE03;night;gering
0;0;681950;237625;1;24.33206;50.20113;50.20113;68.22331;0.85355841;0.305780933;0.567444219;420;RE03;night;gering
1;5;681950;237650;1;14.05938;75.13378;75.13378;93.02876;0.922487619;0.51622718;0.995943205;420;RE03;night;gering
1;2;681950;237675;1;32.1485;100.1003;100.1003;117.9166;0.922036192;0.157200811;1;420;RE03;night;gering
0;0;681950;237700;1;23.08061;109.2899;109.2899;142.8436;0.890051412;0.39959432;0.973630831;420;RE03;night;gering
1;3;681950;237725;0.7143643;11.44209;85;85;167.7924;0.86936805;0.105476673;0.648580122;420;RE03;night;gering
1;1;681950;237750;0.2177077;12.7408;60;60;192.7545;0.857950044;0;0.426470588;420;RE03;night;gering
0;0;681950;237775;0.8435742;17.23637;35;35;217.7253;0.854808609;0.073022312;0.727687627;420;RE03;night;gering
1;1;681925;237550;0;9.897071;18.20779;18.20779;20.18142;0.834398363;0.004056795;0.275354969;420;RE03;night;gering
0;0;681925;237575;0.4572291;17.78719;4.712234;4.712234;25.6211;0.839418526;7.18E-12;0.15821501;420;RE03;night;gering
0;0;681925;237600;1;29.79257;25.40974;25.40974;46.4262;0.859420914;0.490365112;0.901115619;420;RE03;night;gering
1;3;681925;237625;1;22.51559;50.20241;50.20241;70.03698;0.894227619;0.167849899;0.722616633;420;RE03;night;gering
1;5;681925;237650;1;21.51372;75.13463;75.13463;94.36689;0.941306372;0.322515213;0.943711968;420;RE03;night;gering
0;0;681925;237675;1;28.41877;100.1009;100.1009;118.9751;0.937730857;0.761156187;1;420;RE03;night;gering
1;1;681925;237700;1;17.41517;109.185;109.185;143.7187;0.917793016;0.202839756;0.677991886;420;RE03;night;gering
1;3;681925;237725;1;13.25233;84.999;84.999;168.538;0.904502736;0.160243408;0.947768763;420;RE03;night;gering
0;0;681925;237750;0.8549498;11.68717;60;60;193.4039;0.897526791;0.004056795;0.57505071;420;RE03;night;gering
0;0;681925;237775;0.4612656;18.02917;35;35;218.3004;0.897064875;0.072515213;0.70030426;420;RE03;night;gering
0;0;681900;237600;1;30.77812;33.70112;33.70112;60.46509;0.897359372;0.423935091;0.878803245;420;RE03;night;gering
0;0;681900;237625;1;11.61801;56.13262;56.13262;80.03699;0.923922182;0;0.404158215;420;RE03;night;gering
1;1;681900;237650;1;18.44727;79.31625;79.31625;102.0092;0.963696605;0.244929006;0.924442191;420;RE03;night;gering
0;0;681900;237675;1;24.52405;103.2488;103.2488;125.1233;0.960669742;0.528397566;1;420;RE03;night;gering
0;0;681900;237700;1;11.29856;103.0695;103.0695;148.8483;0.938118544;0.199290061;0.651115618;420;RE03;night;gering
1;1;681900;237725;1;14.04409;80.66803;80.66803;172.933;0.92768569;0.176977688;0.82505071;420;RE03;night;gering
1;3;681900;237750;1;12.73319;57.28227;57.28227;197.2456;0.923003594;0.029918864;0.402129817;420;RE03;night;gering
1;1;681900;237775;0.9695221;14.8813;33.24064;33.24064;221.7111;0.923207724;0.025862069;0.748478702;420;RE03;night;gering
