ccrs;meat;gender;member;age_group;age_group_2
1000617332;1;F;Mitarbeitende;AK1;15 - 25-jaehrig
1000617332;0;F;Mitarbeitende;AK1;15 - 25-jaehrig
1000617332;0;F;Mitarbeitende;AK1;15 - 25-jaehrig
1000617332;1;F;Mitarbeitende;AK1;15 - 25-jaehrig
1000617332;1;F;Mitarbeitende;AK1;15 - 25-jaehrig
1000617332;1;F;Mitarbeitende;AK1;15 - 25-jaehrig
1000617327;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000617327;0;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000617327;0;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000617327;0;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000617327;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000617327;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000617327;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000617327;0;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000617327;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000617327;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000617327;0;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000617327;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000617327;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000617327;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000617327;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000617327;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000617327;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000617327;0;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000617327;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000617327;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000631760;0;F;Mitarbeitende;AK1;15 - 25-jaehrig
1000631760;1;F;Mitarbeitende;AK1;15 - 25-jaehrig
1000631760;1;F;Mitarbeitende;AK1;15 - 25-jaehrig
