DatumUhrzeit;Fuss_IN;Fuss_OUT;Velo_IN;Velo_OUT;lon;lat;Standort
04.01.2017 08:00;0;4;0;0;2684609;1236200;Sihlufer
04.01.2017 09:00;0;0;0;0;2684609;1236200;Sihlufer
04.01.2017 10:00;0;4;0;0;2684609;1236200;Sihlufer
04.01.2017 11:00;0;0;0;0;2684609;1236200;Sihlufer
04.01.2017 12:00;4;4;0;0;2684609;1236200;Sihlufer
04.01.2017 13:00;2;8;0;1;2684609;1236200;Sihlufer
04.01.2017 14:00;0;0;0;0;2684609;1236200;Sihlufer
04.01.2017 15:00;2;8;0;0;2684609;1236200;Sihlufer
04.01.2017 16:00;0;0;0;0;2684609;1236200;Sihlufer
04.01.2017 17:00;0;0;0;0;2684609;1236200;Sihlufer
04.01.2017 18:00;0;0;0;0;2684609;1236200;Sihlufer
04.01.2017 19:00;0;0;0;0;2684609;1236200;Sihlufer
04.01.2017 20:00;0;0;0;0;2684609;1236200;Sihlufer
04.01.2017 21:00;0;0;0;0;2684609;1236200;Sihlufer
04.01.2017 22:00;0;0;0;0;2684609;1236200;Sihlufer
04.01.2017 23:00;0;0;0;0;2684609;1236200;Sihlufer
05.01.2017 00:00;0;0;0;0;2684609;1236200;Sihlufer
01.01.2017 00:00;0;0;0;0;2684287;1234731;Sihlwald
01.01.2017 01:00;0;0;0;0;2684287;1234731;Sihlwald
01.01.2017 02:00;0;0;0;0;2684287;1234731;Sihlwald
01.01.2017 03:00;0;0;0;0;2684287;1234731;Sihlwald
01.01.2017 04:00;0;0;0;0;2684287;1234731;Sihlwald
01.01.2017 05:00;0;0;0;0;2684287;1234731;Sihlwald
01.01.2017 06:00;0;0;0;0;2684287;1234731;Sihlwald
01.01.2017 07:00;0;0;0;0;2684287;1234731;Sihlwald
01.01.2017 08:00;0;0;0;0;2684287;1234731;Sihlwald
01.01.2017 09:00;0;0;0;0;2684287;1234731;Sihlwald
01.01.2017 10:00;1;1;0;0;2684287;1234731;Sihlwald
